берем деталь ,Кол-во,артикул получившейся детали,Кол-во
М4.27,"1,9",02.03.01.ГП3,
,операция,,
02.02.01.Р01,1,02.03.01.СО9,
02.03.01.ГП3,1,02.03.01.СО9,
гибка,операция,02.03.01.СО9,
сборка,операция,02.03.01.СО9,
02.03.01.СО1,,02.11.04.1,
02.03.01.СО2,,02.11.04.1,
02.03.01.СО3,,02.11.04.1,
02.03.01.СО4,,02.11.04.1,
02.03.01.СО5,,02.11.04.1,
02.03.01.СО6,,02.11.04.1,
02.03.01.СО7,,02.11.04.1,
02.03.01.СО8,,02.11.04.1,
02.03.01.СО9,,02.11.04.1,
,,,
02.01.01.РТ01,2,02.01.01.СО1,
02.01.01.РТ02,2,02.01.01.СО1,
М6.55,8,02.01.01.СО1,
гибка,операция,02.01.01.СО1,
сборка,операция,02.01.01.СО1,
02.03.01.Р03,1,02.01.01.СО2,
02.02.01.Р09,2,02.01.01.СО2,
02.02.01.Р25,2,02.01.01.СО2,
02.02.01.Р26,2,02.01.01.СО2,
М3.26,12,02.01.01.СО2,
гибка,операция,02.01.01.СО2,
сборка,операция,02.01.01.СО2,
М4.27,"5,76",02.01.01.ГП1,
,операция,,
02.12.01.РТ04,2,02.01.01.СО3,
02.02.01.Р28,2,02.01.01.СО3,
02.01.01.ГП1,,02.01.01.СО3,
М3.26,4,02.01.01.СО3,
гибка,операция,02.01.01.СО3,
сборка,операция,02.01.01.СО3,
02.01.01.Р01,1,02.01.01.СО4,
02.03.01.Р02,1,02.01.01.СО4,
М6.56,2,02.01.01.СО4,
М3.26,8,02.01.01.СО4,
гибка,операция,02.01.01.СО4,
сборка,операция,02.01.01.СО4,
02.03.01.Р01,2,02.01.01.СО5,
гибка,операция,02.01.01.СО5,
сборка,операция,02.01.01.СО5,
М4.27,"0,56",02.01.01.ГП2,
,операция,,
02.12.01.РТ06,1,02.01.01.СО6,
02.12.01.РТ07,1,02.01.01.СО6,
02.12.01.РТ11,2,02.01.01.СО6,
02.12.01.РТ13,2,02.01.01.СО6,
02.03.01.03,1,02.01.01.СО6,
02.01.01.Р07,1,02.01.01.СО6,
02.01.01.Р09,20,02.01.01.СО6,
02.01.01.ГП2,,02.01.01.СО6,
02.01.01.Р07,1,02.01.01.СО6,
гибка,операция,02.01.01.СО6,
сборка,операция,02.01.01.СО6,
02.12.01.РТ09,1,02.01.01.СО7,
02.12.01.РТ10,1,02.01.01.СО7,
02.12.01.РТ12,2,02.01.01.СО7,
02.02.01.14,1,02.01.01.СО7,
02.01.01.Р10,18,02.01.01.СО7,
гибка,операция,02.01.01.СО7,
сборка,операция,02.01.01.СО7,
02.02.01.Р32,3,02.01.01.СО8,3
02.03.01.Р05,3,02.01.01.СО8,3
02.02.01.Р34,2,02.01.01.СО8,1
02.02.01.Р35,4,02.01.01.СО8,1
М3.26,6,02.01.01.СО8,3
гибка,операция,02.01.01.СО8,3
сборка,операция,02.01.01.СО8,3
02.01.01.СО1,,02.08.04.1,
02.01.01.СО2,,02.08.04.1,
02.01.01.СО3,,02.08.04.1,
02.01.01.СО4,,02.08.04.1,
02.01.01.СО5,,02.08.04.1,
02.01.01.СО6,,02.08.04.1,
02.01.01.СО7,,02.08.04.1,
02.01.01.СО8,,02.08.04.1,
,,,
02.03.01.РТ02,4,02.03.01.СО1,
М6.55,8,02.03.01.СО1,
гибка,операция,02.03.01.СО1,
сборка,операция,02.03.01.СО1,
02.03.01.Р03,1,02.03.01.СО2,
02.02.01.Р09,2,02.03.01.СО2,
02.02.01.Р25,2,02.03.01.СО2,
02.02.01.Р26,2,02.03.01.СО2,
М3.26,12,02.03.01.СО2,
гибка,операция,02.03.01.СО2,
сборка,операция,02.03.01.СО2,
М4.27,"5,76",02.03.01.ГП1,
,операция,,
02.12.01.РТ04,2,02.03.01.СО3,
02.02.01.Р28,2,02.03.01.СО3,
02.03.01.ГП1,,02.03.01.СО3,
М3.26,4,02.03.01.СО3,
гибка,операция,02.03.01.СО3,
сборка,операция,02.03.01.СО3,
02.01.01.Р01,1,02.03.01.СО4,
02.03.01.Р02,1,02.03.01.СО4,
М6.56,2,02.03.01.СО4,
М3.26,8,02.03.01.СО4,
гибка,операция,02.03.01.СО4,
сборка,операция,02.03.01.СО4,
02.03.01.Р01,2,02.03.01.СО5,
гибка,операция,02.03.01.СО5,
