Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,01.00.03.06,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.06,01.00.03.Р16,,,резка металического листа,"оц.0,35",1250,2000,25000,29968,13,2,"3895,84","18,339","352,68",4585,1037,"12,9",20,28,1228,5,79,,,,,,,,
01.00.03.06,01.00.03.Р20,,,резка металического листа,"оц.0,35",1250,2000,25000,87480,7,2,"6123,6","28,826","1029,50",7207,2214,"26,1",,,1228,8,160,,,,,,,,
01.00.03.06,01.00.03.Р14,,,резка металического листа,"оц.0,35",1250,2000,25000,18248,4,4,"729,92","3,436","214,75",859,531,"6,3",,,1228,2,19,,,,,,,,
01.00.03.06,01.00.03.Р13,,,резка металического листа,"оц.0,35",1250,2000,25000,18095,10,5,"1809,5","8,518","212,95",2129,646,"7,5",,,1228,2,18,,,,,,,,
01.00.03.06,01.00.03.Р21,,,резка металического листа,"оц.0,35",1250,2000,25000,22880,10,2,2288,"10,770","269,26",2693,696,"8,0",,,1228,2,49,,,,,,,,
01.00.03.06,01.00.03.Р22,,,резка металического листа,"оц.0,35",1250,2000,25000,9995,7,2,"699,65","3,294","117,63",823,370,"5,7",,,1228,4,35,,,,,,,,
01.00.03.06,01.00.03.Р23,,,резка металического листа,"оц.0,35",1250,2000,25000,12433,12,2,"1491,96","7,023","146,32",1756,620,"8,7",,,1228,5,53,,,,,,,,
01.00.03.06,01.00.03.Р15,,,резка металического листа,"оц.0,35",1250,2000,25000,16012,12,2,"1921,44","9,045","188,44",2261,640,"11,4",,,1228,10,70,,,,,,,,
01.00.03.06,01.00.03.Р24,,,резка металического листа,"оц.0,35",1250,2000,25000,4759,11,2,"523,49","2,464","56,01",616,276,"4,8",,,1228,4,29,,,,,,,,
01.00.03.06,01.00.03.Р25,,,резка металического листа,"оц.0,35",1250,2000,25000,17599,10,2,"1759,9","8,284","207,11",2071,678,"8,8",,,1228,4,54,,,,,,,,
,,,,,,,,,,,,"21243,3","15,0",,25000,7708,,,,,46,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
